F3,F4,C3,Cz,C4,P3,P4,accX,accY,accZ,label
8840.932519,8901.215576,8031.820093,7568.51963,7798.356917,8839.839832,6604.397614,18.4375,808.8125,-459.5625,1
-839.2820688,-857.5820284,-672.1060449,-635.0454402,-651.8559491,-837.5351821,-552.4447907,16,809.625,-456.6875,1
-562.3543828,-568.6960043,-496.9543399,-464.7284105,-482.4058034,-564.2880802,-405.3488735,14.1875,811.625,-455.25,1
100.6630737,103.2229524,86.14175544,77.13184294,82.49297458,102.4154371,65.23983285,16.9375,811.625,-452.875,1
3.097098271,2.28020323,0.8310611875,3.317542599,2.661547401,2.123573088,3.294120985,14.4375,806.625,-462.625,1
-2.422739521,-0.9577539127,0.03034440082,-0.7278993332,-1.090583507,-0.5824165303,1.216016277,12.875,808.0625,-459,1
-0.007042636578,0.4225683432,-1.416996768,-0.9806796215,-0.8579341612,-0.4152079629,0.9823242783,11.625,808.875,-460.3125,1
1.288425927,-0.1086410074,2.616991718,1.169825594,1.701494975,0.9567532727,-2.985723973,12.4375,810.4375,-455.375,1
-1.571950609,-1.02938958,-2.133200959,-0.7477599463,-2.03498357,-2.127277616,-0.7034570763,15.9375,812,-452.5625,1
4.316183279,3.404462805,1.537765989,1.184849422,2.069614545,2.20800778,1.081268557,16.5625,813.1875,-450.875,1
-2.844236979,-1.841944973,-0.4470626706,-1.389990607,0.2026265881,-1.627455439,1.513315371,16.625,808.625,-457.875,2
-2.925553922,-2.480461289,-3.256870435,-2.421372741,-5.69826695,-0.3166991527,-5.60846328,16.25,809.0625,-460.3125,2
2.533634323,0.8643683638,4.022198857,2.345924781,5.008504622,0.8863008262,3.304085377,21.5,805.125,-465.25,1
0.01955783178,0.2628185427,-3.302849119,-0.2430782384,-1.626653242,-1.030376416,0.964002292,23.5625,799.375,-474.125,1
0.3485119104,1.615566202,2.359874703,1.42789377,1.845339159,0.7195186655,1.81008328,13.3125,802.3125,-470.125,0
-2.007951246,-2.364272193,-1.310290007,-2.514014519,-2.33802803,-0.2419859717,-4.244996238,18.75,806.8125,-463,0
1.020720986,1.450412077,-0.7056411728,2.074404155,0.9303960913,0.59683335,5.644190605,10.4375,805.5,-464.625,0
0.8517560465,0.9208303949,2.312461977,-0.0007687593508,1.362442025,-0.7939091013,-4.768113679,10.5625,794,-479.375,1
-0.4477527949,-2.010589541,-1.35401738,-1.593210723,-1.857264852,0.1275168618,0.5358732072,6.9375,790.5,-488.625,1
1.945616278,3.134719553,2.04057405,2.908006246,2.090515051,1.574192642,3.35308031,7.625,787.4375,-489.75,1
-6.38747185,-7.554684672,-4.294636843,-5.164044337,-5.157430992,-3.02897061,-5.379580463,2,785.375,-492.5,2
8.349527389,9.749132948,4.38565007,6.606491294,7.908261371,2.950285797,5.506994773,4.125,780.75,-501.3125,2
-0.8199414645,-2.498889629,1.102324306,-0.9544721563,-2.987797359,1.524435428,-2.019360502,-0.4375,773.5625,-503.75,2
-2.677081699,-0.8815568474,-2.016111186,-1.811940989,-0.5654430205,-2.240825831,-0.6166724151,5,776.9375,-500.625,2
-0.3633932034,-0.4510437047,-1.533293565,-1.008761369,-0.2164957091,-0.8185845081,-0.03060924588,8.625,788.375,-486.75,2
0.0586611674,-0.1941480678,0.173398054,0.8539254625,0.3749359784,1.050614697,-0.4407697777,9.4375,785.625,-492.8125,2
-0.5271267514,-0.7630093136,-0.1369038342,-1.760336209,-2.330360016,-0.4698962418,1.097025516,8.1875,776.375,-501.3125,2
-0.5678806112,0.08577605102,-0.4607252918,1.084846246,1.182523919,-2.289137347,-3.191349653,3.6875,782,-497.125,2
0.4032919167,-0.8655948615,-0.001008741767,-0.7970651812,-0.8882812151,2.11350537,4.749528798,6.8125,777.0625,-500.0625,1
0.874713692,1.563898329,1.289653219,1.270818185,2.265240451,-1.239908282,-0.6486723104,0.8125,782.6875,-497.625,1
-0.6109207454,-0.3193403476,-0.9420799142,-0.4104103648,-1.162525622,1.174335928,-0.07213710123,0.375,785.3125,-493.625,1
-0.9204675755,-1.921449573,-0.5353981719,-1.083570951,-1.009954537,-0.443073238,-3.464995958,0.5625,788.375,-489.1875,1
1.759149637,2.861958204,3.118642595,3.013890947,1.923920027,1.102205894,1.349153265,3.8125,785.5625,-492.375,1
0.09749822095,-0.3406305682,-1.657828005,-2.046199067,-1.253687457,-0.4133808876,2.976873058,10.0625,782.6875,-494.6875,0
-2.706721111,-2.348389618,-3.597475961,-2.636467087,-0.8901600916,-2.374487749,-5.56061995,11.3125,784.75,-493.5,0
5.07863363,3.396222814,6.040098963,3.866928961,2.148814384,3.085655831,4.580264433,17.6875,794.5625,-477.6875,0
-5.336812541,-3.488778351,-4.255913683,-2.218017958,-2.653384381,-2.385567276,-2.188259044,-0.25,782.375,-494.5625,0
4.104877197,3.030392326,2.777140164,2.024425729,4.5850568,2.491553308,-0.9283224303,1.875,775.25,-505.5625,0
-4.54485785,-4.290193731,-1.742245052,-3.173095751,-6.0197418,-3.248046784,0.4079004116,5.9375,791.75,-485.125,0
2.002129286,2.464537355,-0.5052226094,2.728576671,3.548795007,3.40147287,3.631577626,15,807.4375,-459.875,0
-0.8447275118,-1.281443814,0.2528012655,-1.093750662,-1.36562046,-3.019267729,-6.626185028,13.8125,777.875,-502.625,1
3.086985614,2.858180884,0.7333386481,0.2663207544,1.413458199,1.499036148,5.388545145,14.3125,780.625,-497.8125,1
-3.574973753,-3.593599837,-1.318016691,-0.9908099402,-2.273229663,-0.1567016327,-1.955718379,7.4375,803.875,-467.25,1
2.080964434,2.505334655,4.43725871,1.118050917,0.780255035,-0.2473200839,-0.7688335618,15.3125,797.875,-476.6875,1
-0.09252909517,-0.4291119023,-15.75477623,0.1164937122,1.068701095,0.4764736002,0.5580683856,10.1875,787.625,-488.25,1
-0.7069798044,-0.1303002636,18.26138558,0.9352309618,0.2499305197,0.5761657078,4.678815921,6.8125,782.875,-496.3125,1
1.667108079,1.149718157,-4.699882728,0.05216958373,0.382330536,0.8962915216,-4.574335068,10.3125,782.625,-496.8125,2
-2.146251156,-2.516417907,-2.678739919,-2.977594001,-2.691877373,-1.713273535,0.1783599098,16.3125,787.4375,-489.6875,2
3.217211161,4.985954342,0.8685565006,3.804558822,4.210037832,-0.1739132543,0.10625033,18,795.25,-479.625,2
-0.7657139735,-2.991711701,1.911357754,-0.789777929,-2.514817554,-0.6158877969,-1.211390134,11.3125,789.4375,-487.9375,2
-0.910220156,0.189046612,-1.876948881,-1.441072605,-0.9128855442,-0.3168617639,1.931869053,7.3125,785.5625,-492.6875,2
0.09073767603,-2.427253609,0.8468046006,-0.1197207035,2.697000639,1.373207036,-2.110184296,7.625,779.5625,-497.6875,2
0.7933251701,1.971186496,1.259970711,1.974923689,-4.123339567,0.8670115059,1.843882058,14.375,772.0625,-505,2
-1.613908153,0.3111938557,-2.368535376,-1.373654132,4.705592398,-0.5088993246,2.08439235,13,778.625,-499.25,2
0.001818503048,0.5627270945,1.763487706,0.3814661723,-1.688896995,0.08231124782,0.8956318661,14.9375,779.125,-497.625,2
1.403149951,-1.15967721,0.5096937199,0.3779937807,-1.803592187,0.6415040646,-3.23709984,10.6875,780.125,-497.0625,2
-1.003078586,0.08209857634,-2.172454321,-1.656771633,1.049555693,-2.069482472,-1.754330513,23.25,779.25,-498.75,1
0.4390888405,1.218377605,1.539209293,1.76994699,0.4061442031,0.7238200945,2.262524465,14.125,780.875,-496.5,1
-0.9645463869,-1.499109334,-1.348482208,-1.713007862,0.5064404252,0.2345496359,0.4897794116,12.75,782.625,-497.1875,1
1.102145134,1.062026304,1.518925876,2.007731517,-1.107994623,0.812369225,-1.167547199,11.9375,781.875,-495.0625,1
-0.2102121741,-0.461009075,-1.188596354,-0.9420487915,0.3472918373,-0.67820918,1.771454312,13.5625,780.4375,-496.3125,1
-0.5893446939,0.5906932252,-0.282070612,0.1392600364,0.5004667762,0.09485625785,-3.062036852,13.375,777.5625,-500.875,1
0.8790222451,-1.068132981,0.9361894805,-0.6840890235,-0.4587781169,-0.1177508875,1.060853485,10.8125,783.625,-493.1875,2
-0.07575267223,0.7521478151,0.2342958066,1.643735861,0.6777289703,-0.003475385319,4.670718605,7.8125,785,-491.9375,2
1.874395105,1.350888375,2.530079893,1.346848285,0.6379185927,2.101727355,-4.728182111,-9.75,782.625,-495.8125,2
-18.68691444,-7.580710818,-16.02029563,-11.6824162,-6.332353367,-9.074286293,-3.636389757,9.9375,775.875,-504.5,2
25.0547181,6.883452275,18.07508097,10.20519316,6.502513877,6.945281269,4.504740943,25.0625,781.8125,-495,2
-8.80995566,-1.812441226,-6.052547788,-0.378203087,-1.196147246,0.2111942766,-0.5976007872,32.625,778.6875,-496.375,2
-3.558358903,-2.370633668,-1.707398716,-1.925823769,-2.247411951,-2.176070692,-0.772233427,15.9375,776.5,-500.9375,2
4.555840647,2.590453755,1.619768985,0.1768418126,2.746443566,1.616389873,1.583284535,23.9375,781.0625,-494.8125,2
-2.858121826,-1.503295503,-1.395765835,-0.5968934509,-3.465020901,-0.9390922349,-3.641406542,28.125,779.625,-497.125,2
9.02096352,5.475468868,6.316124672,4.61263768,6.497544055,6.075545282,1.50391995,16.75,789.875,-484.125,2
-9.018949375,-4.394348398,-4.962781653,-3.85581589,-3.512794189,-5.663501495,1.839527745,16.3125,796.5,-479.0625,2
1.088745552,-0.1011731619,0.7868095257,0.4748276842,-2.654299314,0.1837922151,-0.02286224141,22.5,800.4375,-468.1875,2
3.371388389,3.314326138,0.9156431598,0.7460934703,4.734293161,1.799716819,0.1692161928,16.1875,786.0625,-492.125,2
-2.706417541,-1.938980909,0.7653963319,0.02474690967,-1.683461094,-2.038897694,-2.053739718,14.0625,789.0625,-487.4375,2
2.632477611,-0.7176664009,-1.808291882,-0.1917904976,-1.78210985,-0.1831641719,1.94079551,13.8125,798,-476.375,2
-2.995659274,1.277582874,0.5684801075,0.07752727486,1.8519281,0.3817750765,-1.298014247,22.875,787.875,-487.5,1
-0.08206486796,-1.156634318,0.3534810566,-0.2995419627,0.1010246822,1.367559381,1.067398329,20.6875,775.5625,-501.5625,1
0.4486137582,-0.135551851,-1.019398712,-0.1989063233,-2.445494076,-1.083357968,-0.3851118571,11.9375,775.4375,-502.875,1
3.352157071,-0.008722705776,0.3152222041,0.1530039396,1.831419595,0.404453791,0.4165054372,14.6875,780.875,-497.9375,1
-6.81383188,-0.8987904333,-1.417858831,-1.306648977,-0.835382764,-0.5116141831,-1.610252235,13.5,783.9375,-493.875,1
4.973593855,1.894250395,1.457907283,1.806464456,0.792190006,-0.4872671547,3.233139529,13.4375,785.125,-492.3125,1
-2.632925092,-2.29947816,-0.3273608866,-1.10589161,-0.5981864529,1.139898951,-2.562275822,15.5,786.4375,-491.5,1
0.7262044671,0.2983522321,-0.04167399227,-0.5587513177,-0.8768425442,-0.7691187013,-2.052148325,15.25,785.0625,-492.625,1
1.705858449,1.320091451,0.3109431376,0.72487978,0.7258336082,0.08498216233,3.776936534,17.1875,787.3125,-490.125,1
-0.3163898574,-0.1256827789,-0.1035453665,0.9869558707,1.672682089,1.159845417,0.8304652322,17.75,786.875,-488.625,2
-0.07120703424,-0.001727219951,0.07635308976,-2.239024253,-2.298009664,-0.4275428828,-2.320347014,19.4375,786.375,-490.5,2
0.006855823678,1.319603376,0.4070623216,2.629759172,3.43363394,-0.9331699368,-0.8778443257,27.4375,784.125,-492.75,2
3.014750795,0.7351594012,2.077894826,1.030657377,-0.9303760944,4.130192774,1.396475786,23.875,782.75,-494.1875,2
-6.182677798,-2.827939107,-3.771199243,-3.025234928,-3.168962206,-5.462497353,0.61413854,20.25,777.125,-501,2
2.525428931,2.703550345,1.836995554,1.560211924,4.712252054,1.80329203,4.079960246,25.875,778.125,-498.125,2
-0.9445058414,-2.419563017,-1.180137564,-0.289012736,-4.930915787,1.445473853,-6.504440615,30.8125,785.75,-490.5625,2
2.715196189,1.210357606,1.901514796,-0.8417532264,2.177921812,-1.75234017,2.044613189,30.3125,781.625,-493.125,2
-1.934082293,0.9365322286,-0.4167747562,1.737452934,1.795895292,1.575468078,3.16770623,25.6875,783.25,-493,2
