label,F3,F4,C3,Cz,C4,P3,P4,accX,accY,accZ
N,8840.93251875123,8901.215575896470,8031.820092580110,7568.519630474390,7798.356917468590,8839.839831916080,6604.397614445740,18.4375,808.8125,-459.5625
N,-839.2820687938290,-857.5820283921210,-672.106044875558,-635.0454402414900,-651.8559491420320,-837.5351820809730,-552.4447906669920,16.0,809.625,-456.6875
N,-562.3543827543510,-568.6960043262550,-496.9543398894270,-464.72841049048300,-482.4058034204190,-564.2880801808190,-405.34887350863100,14.1875,811.625,-455.25
N,100.66307374292900,103.22295241147600,86.14175543557370,77.13184293640590,82.49297457735970,102.4154371014430,65.23983284991800,16.9375,811.625,-452.875
N,3.0970982711571400,2.280203230234240,0.8310611874992540,3.317542598542410,2.6615474010178600,2.1235730875401200,3.2941209846245300,14.4375,806.625,-462.625
N,-2.422739520813600,-0.9577539127364820,0.030344400823239800,-0.727899333211501,-1.090583506924150,-0.5824165303027720,1.2160162774498800,12.875,808.0625,-459.0
N,-0.007042636577671720,0.42256834322347400,-1.4169967682034400,-0.980679621522147,-0.8579341612387380,-0.41520796288422200,0.982324278273547,11.625,808.875,-460.3125
N,1.288425926686150,-0.1086410074387390,2.6169917177659100,1.1698255943340500,1.7014949752697700,0.9567532727113750,-2.9857239734054200,12.4375,810.4375,-455.375
N,-1.5719506089548700,-1.0293895800721000,-2.1332009592860200,-0.7477599462939970,-2.0349835703681400,-2.1272776160126400,-0.7034570762805470,15.9375,812.0,-452.5625
N,4.316183279496910,3.4044628048199800,1.5377659886354200,1.1848494217299300,2.0696145449159500,2.2080077804278900,1.081268557135330,16.5625,813.1875,-450.875
R,-2.8442369792873400,-1.8419449734019600,-0.4470626706180780,-1.3899906066671400,0.20262658807932300,-1.6274554388848000,1.5133153712751100,16.625,808.625,-457.875
R,-2.925553922037470,-2.4804612889905500,-3.2568704353773200,-2.4213727412219400,-5.6982669500122300,-0.3166991526941160,-5.608463279741090,16.25,809.0625,-460.3125
N,2.5336343226916300,0.8643683638035960,4.02219885712076,2.3459247806773400,5.008504622283770,0.8863008262427880,3.3040853766031600,21.5,805.125,-465.25
N,0.019557831783540200,0.2628185426533410,-3.3028491189380000,-0.24307823842823500,-1.626653242287930,-1.0303764158156000,0.964002291999303,23.5625,799.375,-474.125
L,0.3485119104260280,1.6155662022808500,2.359874703095200,1.427893770459320,1.845339158668390,0.7195186654937180,1.810083279918170,13.3125,802.3125,-470.125
L,-2.0079512462518000,-2.364272193455630,-1.3102900074018800,-2.514014519332380,-2.3380280303327700,-0.24198597170137600,-4.244996238031790,18.75,806.8125,-463.0
L,1.02072098583103,1.4504120765798500,-0.7056411727632540,2.07440415534958,0.9303960913350560,0.5968333500075970,5.6441906047345800,10.4375,805.5,-464.625
N,0.8517560465462350,0.9208303948914450,2.3124619767500600,-0.0007687593508323970,1.3624420248917200,-0.7939091013018590,-4.768113678641020,10.5625,794.0,-479.375
N,-0.4477527949087770,-2.0105895410536500,-1.3540173800303100,-1.5932107232839300,-1.8572648522862400,0.12751686184580300,0.5358732071703540,6.9375,790.5,-488.625
N,1.9456162781434300,3.1347195528953800,2.0405740502154700,2.908006245846920,2.090515050779240,1.574192641999980,3.353080310305020,7.625,787.4375,-489.75
R,-6.387471849568750,-7.554684671518010,-4.2946368434612900,-5.16404433661048,-5.1574309924639100,-3.02897061018846,-5.379580463313330,2.0,785.375,-492.5
R,8.34952738852095,9.749132947814930,4.385650069961810,6.606491294379760,7.908261371007320,2.950285796637410,5.5069947733226300,4.125,780.75,-501.3125
R,-0.8199414644945840,-2.4988896288833300,1.102324305521190,-0.9544721562640970,-2.987797358633750,1.5244354275982800,-2.0193605021770600,-0.4375,773.5625,-503.75
R,-2.677081698594880,-0.8815568474389840,-2.016111185791690,-1.8119409893883100,-0.5654430204615110,-2.2408258311444400,-0.6166724150862360,5.0,776.9375,-500.625
R,-0.36339320342150500,-0.4510437046562270,-1.5332935654675100,-1.0087613685434600,-0.21649570912521500,-0.8185845081354360,-0.03060924588370700,8.625,788.375,-486.75
R,0.05866116739598400,-0.19414806777637000,0.17339805402083900,0.8539254624684990,0.3749359784088020,1.0506146967947400,-0.4407697777204510,9.4375,785.625,-492.8125
R,-0.5271267513603570,-0.7630093135741000,-0.13690383418078600,-1.760336209127810,-2.3303600155870600,-0.46989624179966400,1.0970255161199600,8.1875,776.375,-501.3125
R,-0.5678806111917170,0.08577605102106210,-0.4607252917911230,1.0848462462023500,1.1825239193579400,-2.289137346700400,-3.191349652645670,3.6875,782.0,-497.125
N,0.40329191674320700,-0.8655948615310350,-0.0010087417668686100,-0.7970651811792190,-0.8882812150745600,2.1135053696828400,4.749528798406380,6.8125,777.0625,-500.0625
N,0.8747136919535200,1.5638983294436100,1.2896532189675400,1.2708181849653600,2.265240450832840,-1.2399082822860800,-0.6486723104207900,0.8125,782.6875,-497.625
N,-0.610920745417649,-0.3193403476475410,-0.942079914154732,-0.4104103647727580,-1.1625256221767800,1.1743359278814300,-0.07213710123358400,0.375,785.3125,-493.625
N,-0.9204675754570270,-1.9214495728453600,-0.5353981719210880,-1.083570951247970,-1.0099545366481500,-0.44307323798650700,-3.46499595763621,0.5625,788.375,-489.1875
N,1.7591496370220500,2.861958203988530,3.1186425946449300,3.0138909469210000,1.9239200271288000,1.1022058943699400,1.3491532650950500,3.8125,785.5625,-492.375
L,0.09749822095033600,-0.3406305682304630,-1.6578280047652000,-2.0461990668286400,-1.2536874566747900,-0.4133808875552980,2.9768730580396000,10.0625,782.6875,-494.6875
L,-2.7067211114772200,-2.3483896181407100,-3.597475960845430,-2.636467087007150,-0.8901600915906820,-2.374487748584630,-5.56061994978883,11.3125,784.75,-493.5
L,5.07863363022747,3.396222813718930,6.040098963060240,3.866928960665500,2.1488143835606500,3.0856558309949200,4.580264432536150,17.6875,794.5625,-477.6875
L,-5.336812540567900,-3.488778351479120,-4.255913682613550,-2.2180179582208400,-2.6533843814680700,-2.3855672755714400,-2.1882590443115900,-0.25,782.375,-494.5625
